time (fs),deltaI
20.02046766,94.7532854
19.96326669,100.662834
19.90606572,104.7784126
19.84886475,107.2055486
19.79166378,107.7331869
19.73446282,106.1502721
19.67726185,102.7733871
19.62006088,97.76082355
19.56285991,91.48192812
19.50565894,83.93670083
19.44845797,75.70554378
19.391257,66.47187402
19.33405604,56.81609364
19.27685507,47.16031327
19.2196541,37.18794993
19.16245313,27.16282276
19.10525216,16.92664028
19.04805119,6.479402496
18.99085023,-3.651252326
18.93364926,-13.94019863
18.87644829,-24.17638111
18.81924732,-34.46532741
18.76204635,-44.3321631
18.70484538,-53.4603052
18.64764441,-61.48040694
18.59044345,-68.76181509
18.53324248,-74.88241905
18.47604151,-79.89498263
18.41884054,-83.85226967
18.36163957,-85.69900362
18.3044386,-85.6462398
18.24723764,-83.74674202
18.19003667,-80.15880177
18.1328357,-74.93518287
18.07563473,-68.07588534
18.01843376,-59.42261768
17.96123279,-49.34472668
17.90403182,-38.58090593
17.84683086,-26.86733629
17.78962989,-14.78441987
17.73242892,-1.910046029
17.67522795,10.85880015
17.61802698,23.20553572
17.56082601,35.34121597
17.50362505,46.94925796
17.44642408,58.24071698
17.38922311,68.26584415
17.33202214,76.97187564
17.27482117,84.67539441
17.2176202,91.11258132
17.16041923,95.70303429
17.10321827,98.97439158
17.0460173,101.296
16.98881633,102.0346936
16.93161536,102.2985127
16.87441439,101.4542915
16.81721342,99.55479368
16.76001246,97.0748938
16.70281149,93.69800886
16.64561052,89.00202824
16.58840955,83.19800724
16.53120858,76.65529267
16.47400761,68.79348242
16.41680664,59.40152118
16.35960568,48.5849366
16.30240471,36.18543721
16.24520374,22.99448041
16.18800277,8.642719411
16.1308018,-6.183916032
16.07360083,-21.32713444
16.01639987,-36.15376988
15.9591989,-50.71658619
15.90199793,-64.91005571
15.84479696,-77.94272102
15.78759599,-89.9201098
15.73039502,-99.78694548
15.67319405,-108.1236302
15.61599309,-114.6663448
15.55879212,-119.2040339
15.50159115,-121.9477529
15.44439018,-122.1588082
15.38718921,-120.7341849
15.32998824,-117.1462446
15.27278728,-111.553279
15.21558631,-103.6387049
15.15838534,-93.98292449
15.10118437,-83.27186757
15.0439834,-71.55829793
14.98678243,-59.68643681
14.92958146,-47.12864594
14.8723805,-34.67638272
14.81517953,-22.32964716
14.75797856,-10.35225838
14.70077759,1.203019776
14.64357662,12.60000645
14.58637565,23.20553572
14.52917468,33.54724585
14.47197372,43.1502624
14.41477275,52.43669599
14.35757178,61.14272748
14.30037081,68.89901007
14.24316984,75.81107144
14.18596887,80.9819265
14.12876791,84.78092206
14.07156694,86.36383688
14.01436597,86.52212836
13.957165,85.09750502
13.89996403,81.24574564
13.84276306,75.12514168
13.78556209,66.78845699
13.72836113,56.81609364
13.67116016,45.31357932
13.61395919,32.65026079
13.55675822,18.5095551
13.49955725,3.20804521
13.44235628,-12.25175616
13.38515532,-27.71155753
13.32795435,-42.53819297
13.27075338,-56.67889866
13.21355241,-69.97538312
13.15635144,-82.37488251
13.09915047,-93.08593943
13.0419495,-102.1613177
12.98474854,-109.706545
12.92754757,-116.0382043
12.8703466,-120.6814211
12.81314563,-122.8975018
12.75594466,-123.1085571
12.69874369,-121.8422253
12.64154273,-119.3095615
12.58434176,-115.8799128
12.52714079,-111.1311683
